"","logFC","logCPM","LR","PValue","FDR"
"ENSG00000128284",5.02463375045507,2.96649593587745,46.4045294068242,9.61928949957611e-12,8.84811595155925e-10
"ENSG00000140105",1.40537384021579,8.07021781283685,46.3437781540706,9.92220758248885e-12,9.05005387397764e-10
"ENSG00000117228",5.01986332046259,5.05968669697448,46.1253208616674,1.10925527081043e-11,1.00332139244803e-09
"ENSG00000111057",0.764033522209698,7.29931416346854,46.0621620344202,1.14559763834746e-11,1.0276294848449e-09
"ENSG00000189067",0.928716922228432,7.65613902770808,45.6909597128976,1.38460315636016e-11,1.23184284091256e-09
"ENSG00000106153",0.509527114682798,8.25602736935429,45.5600177434649,1.48032636551923e-11,1.30629775376795e-09
"ENSG00000159377",0.62445954475435,9.69908816034507,45.5405353316258,1.49512399663598e-11,1.30871579511991e-09
"ENSG00000170540",-1.2088379320461,8.48191144807104,45.4659273214768,1.55317364475358e-11,1.34865173921243e-09
"ENSG00000163840",1.66223917886261,6.91282562951468,45.0216659039932,1.9486648151277e-11,1.67863554788857e-09
"ENSG00000116489",-0.478679380443764,11.8049413914633,44.5158219769644,2.52309898568328e-11,2.15635562130758e-09
"ENSG00000213943",0.813971927702585,2.59989327957743,44.4688274618661,2.58439603770298e-11,2.19148707759595e-09
"ENSG00000101166",-0.988790118113948,8.28524520863468,44.4335016141501,2.6314524983029e-11,2.21409189275812e-09
"ENSG00000162244",-0.396682949334953,9.16551392367216,44.1922255209132,2.97661133494176e-11,2.48524149457368e-09
"ENSG00000158373",1.7455839540908,5.30383146581757,44.0837276605241,3.14625628642636e-11,2.60682944525739e-09
"ENSG00000164300",0.873949486687856,9.45013902473317,43.9885571586946,3.30301217471257e-11,2.71597682911593e-09
"ENSG00000178750",1.89461850362606,5.82226334843078,42.6440313230572,6.56644895838891e-11,5.35881481160551e-09
"ENSG00000111678",0.566713500011562,6.36680435791033,42.547888643705,6.89726818620646e-11,5.58678723082723e-09
"ENSG00000112379",-0.884046825183836,8.36952734836129,42.3756276565742,7.53228490813349e-11,6.05595706613933e-09
"ENSG00000179348",-0.979615951088055,6.06405100665504,42.344362458852,7.65366343989222e-11,6.10829874827869e-09
"ENSG00000186010",0.489119300881461,6.79428068143285,42.1437364137541,8.48051362141165e-11,6.71879524429212e-09
"ENSG00000235238",-0.636809963451653,4.80018270031291,41.7800785916165,1.02138808266607e-10,8.03343931105615e-09
"ENSG00000184012",-1.79401233102777,7.07269207260837,41.5755210376111,1.13404364684e-10,8.85533075021683e-09
"ENSG00000162654",7.33435651472272,3.2447396152037,41.4009236387121,1.23998784921997e-10,9.6134486538811e-09
"ENSG00000173113",0.517215969575687,7.85354451393419,41.2650162381217,1.32926744802294e-10,1.02325311211638e-08
"ENSG00000113558",-0.429446427728027,9.53627726125286,41.1669161042749,1.39768370508425e-10,1.06834217852003e-08
"ENSG00000152558",-1.1942334363731,7.47876354462522,41.1017431881791,1.44507395507126e-10,1.09684144813591e-08
"ENSG00000215414",0.669202804781054,6.73671139768971,41.0131987883445,1.51204634229618e-10,1.13970493050574e-08
"ENSG00000188375",0.501595205359961,4.13120132206461,40.758216366339,1.72277565565299e-10,1.2895866873419e-08
"ENSG00000149809",1.220455486487,5.89285651438289,40.6677694623336,1.80438916769089e-10,1.3414273990491e-08
"ENSG00000183709",8.10227067348831,3.06215377210184,40.5750590233409,1.89206381461132e-10,1.39703813903342e-08
"ENSG00000168374",0.6476992521917,9.37309482772018,40.5617037581098,1.90504031255537e-10,1.3971153751673e-08
"ENSG00000171451",-1.66465444949498,6.65038497301334,40.2027636961691,2.28924159526931e-10,1.6676126359096e-08
"ENSG00000090621",-1.46692988307719,5.78444977274421,40.1727352205857,2.32470185262101e-10,1.68215426055656e-08
"ENSG00000106772",-1.24954766355996,8.1462467016356,40.1132374538325,2.3965944223364e-10,1.72269111655889e-08
"ENSG00000136478",-1.36937825989166,6.92667441663691,39.9515831614019,2.60336480415097e-10,1.85900799896412e-08
"ENSG00000174891",-0.888153177710089,6.26521658462231,39.7947600124768,2.82100930064905e-10,2.00125718622515e-08
"ENSG00000133318",-0.91761617756177,7.23698815735863,39.7495313537939,2.88709877515227e-10,2.03484221464303e-08
"ENSG00000101350",-1.74956227808457,5.68074596917747,39.7362909766574,2.9067377091721e-10,2.0354665222809e-08
"ENSG00000172954",-1.25822209199469,8.12436186139207,39.6037813487348,3.11080382029332e-10,2.16440158111947e-08
"ENSG00000144554",-1.55146925225174,6.63653438299522,39.540595198477,3.21310118248621e-10,2.22133759456722e-08
"ENSG00000125257",-1.20740075403099,7.95049738054943,39.485358671612,3.30528340151709e-10,2.27060417975104e-08
"ENSG00000184678",1.91475980063943,6.70494302935234,39.3841733351729,3.48107014945882e-10,2.37632298127208e-08
"ENSG00000170860",-0.728865091381341,7.75604016100045,39.2762120496681,3.67896193074202e-10,2.49571579976712e-08
"ENSG00000163956",1.05989173724712,5.80111974306334,39.254434513603,3.72022484163255e-10,2.50803232491178e-08
"ENSG00000130303",6.06150826172034,3.33092891329436,39.1984455083076,3.82844921531321e-10,2.56506097425985e-08
